1666372500000,0.00002939,0.00002939,0.00002939,0.00002939,5.60000000,1666372559999,0.00016458,1,0.00000000,0.00000000,0
1666372560000,0.00002939,0.00002939,0.00002939,0.00002939,0.00000000,1666372619999,0.00000000,0,0.00000000,0.00000000,0
1666372620000,0.00002939,0.00002939,0.00002939,0.00002939,0.00000000,1666372679999,0.00000000,0,0.00000000,0.00000000,0
1666372680000,0.00002939,0.00002939,0.00002939,0.00002939,0.00000000,1666372739999,0.00000000,0,0.00000000,0.00000000,0
1666372740000,0.00002947,0.00002947,0.00002947,0.00002947,8.10000000,1666372799999,0.00023870,2,8.10000000,0.00023870,0
1666372800000,0.00002947,0.00002947,0.00002947,0.00002947,0.00000000,1666372859999,0.00000000,0,0.00000000,0.00000000,0
1666372860000,0.00002949,0.00002949,0.00002949,0.00002949,14.00000000,1666372919999,0.00041285,2,14.00000000,0.00041285,0
1666372920000,0.00002949,0.00002949,0.00002949,0.00002949,0.00000000,1666372979999,0.00000000,0,0.00000000,0.00000000,0
1666372980000,0.00002949,0.00002949,0.00002949,0.00002949,0.00000000,1666373039999,0.00000000,0,0.00000000,0.00000000,0
1666373040000,0.00002946,0.00002946,0.00002946,0.00002946,40.10000000,1666373099999,0.00118134,1,0.00000000,0.00000000,0
1666373100000,0.00002946,0.00002946,0.00002946,0.00002946,0.00000000,1666373159999,0.00000000,0,0.00000000,0.00000000,0
1666373160000,0.00002949,0.00002949,0.00002949,0.00002949,4.50000000,1666373219999,0.00013270,1,0.00000000,0.00000000,0
1666373220000,0.00002949,0.00002949,0.00002949,0.00002949,0.00000000,1666373279999,0.00000000,0,0.00000000,0.00000000,0
1666373280000,0.00002949,0.00002949,0.00002949,0.00002949,0.00000000,1666373339999,0.00000000,0,0.00000000,0.00000000,0
1666373340000,0.00002949,0.00002949,0.00002949,0.00002949,0.00000000,1666373399999,0.00000000,0,0.00000000,0.00000000,0
